Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Good Friday,Public Holiday
24/04/2000,Monday,Easter Monday,Public Holiday
25/04/2000,Tuesday,ANZAC Day,Public Holiday
04/06/2000,Sunday,Emancipation Day,Public Holiday
05/06/2000,Monday,Day off for Emancipation Day,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
04/07/2000,Tuesday,Birthday of His Majesty King Tupou VI,Public Holiday
17/09/2000,Sunday,Birthday of Crown Prince Tupouto'a-'Ulukalala,Public Holiday
18/09/2000,Monday,Day off for Birthday of Crown Prince Tupouto'a-'Ulukalala,Public Holiday
23/09/2000,Saturday,September Equinox,Season
04/11/2000,Saturday,Constitution Day,Public Holiday
06/11/2000,Monday,Day off for Constitution Day,Public Holiday
04/12/2000,Monday,Anniversary of the Coronation of King Tupou I,Public Holiday
22/12/2000,Friday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
26/12/2000,Tuesday,Boxing Day,Public Holiday
01/01/2001,Monday,New Year's Day,Public Holiday
21/03/2001,Wednesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Public Holiday
16/04/2001,Monday,Easter Monday,Public Holiday
25/04/2001,Wednesday,ANZAC Day,Public Holiday
04/06/2001,Monday,Emancipation Day,Public Holiday
21/06/2001,Thursday,June Solstice,Season
04/07/2001,Wednesday,Birthday of His Majesty King Tupou VI,Public Holiday
17/09/2001,Monday,Birthday of Crown Prince Tupouto'a-'Ulukalala,Public Holiday
23/09/2001,Sunday,September Equinox,Season
04/11/2001,Sunday,Constitution Day,Public Holiday
05/11/2001,Monday,Day off for Constitution Day,Public Holiday
03/12/2001,Monday,Day off for Anniversary of the Coronation of King Tupou I,Public Holiday
04/12/2001,Tuesday,Anniversary of the Coronation of King Tupou I,Public Holiday
22/12/2001,Saturday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
26/12/2001,Wednesday,Boxing Day,Public Holiday
01/01/2002,Tuesday,New Year's Day,Public Holiday
21/03/2002,Thursday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
