Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
20/03/2000,Monday,March Equinox,Season
23/04/2000,Sunday,National Sovereignty and Children's Day,National holiday
19/05/2000,Friday,"Commemoration of Atatürk, Youth and Sports Day",National holiday
21/06/2000,Wednesday,June Solstice,Season
30/08/2000,Wednesday,Victory Day,National holiday
22/09/2000,Friday,September Equinox,Season
28/10/2000,Saturday,Republic Day Eve,Half Day
29/10/2000,Sunday,Republic Day,National holiday
10/11/2000,Friday,Ataturk Memorial Day,Observance
21/12/2000,Thursday,December Solstice,Season
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
20/03/2001,Tuesday,March Equinox,Season
23/04/2001,Monday,National Sovereignty and Children's Day,National holiday
19/05/2001,Saturday,"Commemoration of Atatürk, Youth and Sports Day",National holiday
21/06/2001,Thursday,June Solstice,Season
30/08/2001,Thursday,Victory Day,National holiday
23/09/2001,Sunday,September Equinox,Season
28/10/2001,Sunday,Republic Day Eve,Half Day
29/10/2001,Monday,Republic Day,National holiday
10/11/2001,Saturday,Ataturk Memorial Day,Observance
21/12/2001,Friday,December Solstice,Season
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,National holiday
20/03/2002,Wednesday,March Equinox,Season
23/04/2002,Tuesday,National Sovereignty and Children's Day,National holiday
19/05/2002,Sunday,"Commemoration of Atatürk, Youth and Sports Day",National holiday
21/06/2002,Friday,June Solstice,Season
30/08/2002,Friday,Victory Day,National holiday
23/09/2002,Monday,September Equinox,Season
28/10/2002,Monday,Republic Day Eve,Half Day
29/10/2002,Tuesday,Republic Day,National holiday
10/11/2002,Sunday,Ataturk Memorial Day,Observance
22/12/2002,Sunday,December Solstice,Season
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,National holiday
21/03/2003,Friday,March Equinox,Season
23/04/2003,Wednesday,National Sovereignty and Children's Day,National holiday
