Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
08/01/2000,Saturday,Oraza Bayram,Public Holiday
12/01/2000,Wednesday,Memory Day,Public Holiday
19/02/2000,Saturday,State Flag of Turkmenistan Day,Public Holiday
08/03/2000,Wednesday,International Women's Day,Public Holiday
16/03/2000,Thursday,Kurban Bayramy,Public Holiday
20/03/2000,Monday,Nowruz Bayram (Spring Festival),Public Holiday
20/03/2000,Monday,March Equinox,Season
02/04/2000,Sunday,A Drop of Water - A grain of Gold,Observance
30/04/2000,Sunday,Turkmen Racing Horse Festival,Observance
08/05/2000,Monday,Commemoration National Heroes WWII,Public Holiday
09/05/2000,Tuesday,Victory Day,Public Holiday
18/05/2000,Thursday,"Day of Revival, Unity, and the Poetry of Magtymguly",Public Holiday
28/05/2000,Sunday,Carpet Day,Observance
21/06/2000,Wednesday,June Solstice,Season
16/07/2000,Sunday,Galla Bayramy (Wheat Harvest Festival),Observance
13/08/2000,Sunday,Turkmen Melon Day,Observance
10/09/2000,Sunday,Day of the Workers in the Energy Sector,Observance
10/09/2000,Sunday,Turkmen Bakhshi Day,Observance
22/09/2000,Friday,September Equinox,Season
06/10/2000,Friday,Day of Commemoration and National Mourning,Public Holiday
27/10/2000,Friday,Independence Day,Public Holiday
04/11/2000,Saturday,Health Day,Observance
26/11/2000,Sunday,Harvest Festival,Observance
03/12/2000,Sunday,Good Neighborliness Day,Observance
12/12/2000,Tuesday,Day of Neutrality,Public Holiday
21/12/2000,Thursday,December Solstice,Season
28/12/2000,Thursday,Oraza Bayram,Public Holiday
01/01/2001,Monday,New Year's Day,Public Holiday
12/01/2001,Friday,Memory Day,Public Holiday
19/02/2001,Monday,State Flag of Turkmenistan Day,Public Holiday
06/03/2001,Tuesday,Kurban Bayramy,Public Holiday
08/03/2001,Thursday,International Women's Day,Public Holiday
20/03/2001,Tuesday,Nowruz Bayram (Spring Festival),Public Holiday
20/03/2001,Tuesday,March Equinox,Season
01/04/2001,Sunday,A Drop of Water - A grain of Gold,Observance
29/04/2001,Sunday,Turkmen Racing Horse Festival,Observance
08/05/2001,Tuesday,Commemoration National Heroes WWII,Public Holiday
09/05/2001,Wednesday,Victory Day,Public Holiday
18/05/2001,Friday,"Day of Revival, Unity, and the Poetry of Magtymguly",Public Holiday
27/05/2001,Sunday,Carpet Day,Observance
21/06/2001,Thursday,June Solstice,Season
15/07/2001,Sunday,Galla Bayramy (Wheat Harvest Festival),Observance
12/08/2001,Sunday,Turkmen Melon Day,Observance
09/09/2001,Sunday,Day of the Workers in the Energy Sector,Observance
09/09/2001,Sunday,Turkmen Bakhshi Day,Observance
23/09/2001,Sunday,September Equinox,Season
06/10/2001,Saturday,Day of Commemoration and National Mourning,Public Holiday
27/10/2001,Saturday,Independence Day,Public Holiday
03/11/2001,Saturday,Health Day,Observance
25/11/2001,Sunday,Harvest Festival,Observance
02/12/2001,Sunday,Good Neighborliness Day,Observance
12/12/2001,Wednesday,Day of Neutrality,Public Holiday
17/12/2001,Monday,Oraza Bayram,Public Holiday
22/12/2001,Saturday,December Solstice,Season
01/01/2002,Tuesday,New Year's Day,Public Holiday
12/01/2002,Saturday,Memory Day,Public Holiday
19/02/2002,Tuesday,State Flag of Turkmenistan Day,Public Holiday
23/02/2002,Saturday,Kurban Bayramy,Public Holiday
08/03/2002,Friday,International Women's Day,Public Holiday
20/03/2002,Wednesday,Nowruz Bayram (Spring Festival),Public Holiday
21/03/2002,Thursday,March Equinox,Season
07/04/2002,Sunday,A Drop of Water - A grain of Gold,Observance
28/04/2002,Sunday,Turkmen Racing Horse Festival,Observance
08/05/2002,Wednesday,Commemoration National Heroes WWII,Public Holiday
09/05/2002,Thursday,Victory Day,Public Holiday
18/05/2002,Saturday,"Day of Revival, Unity, and the Poetry of Magtymguly",Public Holiday
26/05/2002,Sunday,Carpet Day,Observance
21/06/2002,Friday,June Solstice,Season
21/07/2002,Sunday,Galla Bayramy (Wheat Harvest Festival),Observance
11/08/2002,Sunday,Turkmen Melon Day,Observance
08/09/2002,Sunday,Day of the Workers in the Energy Sector,Observance
08/09/2002,Sunday,Turkmen Bakhshi Day,Observance
23/09/2002,Monday,September Equinox,Season
06/10/2002,Sunday,Day of Commemoration and National Mourning,Public Holiday
27/10/2002,Sunday,Independence Day,Public Holiday
02/11/2002,Saturday,Health Day,Observance
24/11/2002,Sunday,Harvest Festival,Observance
01/12/2002,Sunday,Good Neighborliness Day,Observance
06/12/2002,Friday,Oraza Bayram,Public Holiday
12/12/2002,Thursday,Day of Neutrality,Public Holiday
22/12/2002,Sunday,December Solstice,Season
01/01/2003,Wednesday,New Year's Day,Public Holiday
12/01/2003,Sunday,Memory Day,Public Holiday
12/02/2003,Wednesday,Kurban Bayramy,Public Holiday
19/02/2003,Wednesday,State Flag of Turkmenistan Day,Public Holiday
08/03/2003,Saturday,International Women's Day,Public Holiday
20/03/2003,Thursday,Nowruz Bayram (Spring Festival),Public Holiday
21/03/2003,Friday,March Equinox,Season
06/04/2003,Sunday,A Drop of Water - A grain of Gold,Observance
27/04/2003,Sunday,Turkmen Racing Horse Festival,Observance
08/05/2003,Thursday,Commemoration National Heroes WWII,Public Holiday
09/05/2003,Friday,Victory Day,Public Holiday
18/05/2003,Sunday,"Day of Revival, Unity, and the Poetry of Magtymguly",Public Holiday
25/05/2003,Sunday,Carpet Day,Observance
22/06/2003,Sunday,June Solstice,Season
20/07/2003,Sunday,Galla Bayramy (Wheat Harvest Festival),Observance
10/08/2003,Sunday,Turkmen Melon Day,Observance
14/09/2003,Sunday,Day of the Workers in the Energy Sector,Observance
14/09/2003,Sunday,Turkmen Bakhshi Day,Observance
23/09/2003,Tuesday,September Equinox,Season
06/10/2003,Monday,Day of Commemoration and National Mourning,Public Holiday
27/10/2003,Monday,Independence Day,Public Holiday
01/11/2003,Saturday,Health Day,Observance
23/11/2003,Sunday,Harvest Festival,Observance
26/11/2003,Wednesday,Oraza Bayram,Public Holiday
07/12/2003,Sunday,Good Neighborliness Day,Observance
12/12/2003,Friday,Day of Neutrality,Public Holiday
22/12/2003,Monday,December Solstice,Season
01/01/2004,Thursday,New Year's Day,Public Holiday
12/01/2004,Monday,Memory Day,Public Holiday
02/02/2004,Monday,Kurban Bayramy,Public Holiday
19/02/2004,Thursday,State Flag of Turkmenistan Day,Public Holiday
08/03/2004,Monday,International Women's Day,Public Holiday
20/03/2004,Saturday,Nowruz Bayram (Spring Festival),Public Holiday
20/03/2004,Saturday,March Equinox,Season
04/04/2004,Sunday,A Drop of Water - A grain of Gold,Observance
25/04/2004,Sunday,Turkmen Racing Horse Festival,Observance
08/05/2004,Saturday,Commemoration National Heroes WWII,Public Holiday
09/05/2004,Sunday,Victory Day,Public Holiday
18/05/2004,Tuesday,"Day of Revival, Unity, and the Poetry of Magtymguly",Public Holiday
23/05/2004,Sunday,Carpet Day,Observance
21/06/2004,Monday,June Solstice,Season
18/07/2004,Sunday,Galla Bayramy (Wheat Harvest Festival),Observance
08/08/2004,Sunday,Turkmen Melon Day,Observance
12/09/2004,Sunday,Day of the Workers in the Energy Sector,Observance
12/09/2004,Sunday,Turkmen Bakhshi Day,Observance
22/09/2004,Wednesday,September Equinox,Season
06/10/2004,Wednesday,Day of Commemoration and National Mourning,Public Holiday
27/10/2004,Wednesday,Independence Day,Public Holiday
06/11/2004,Saturday,Health Day,Observance
14/11/2004,Sunday,Oraza Bayram,Public Holiday
28/11/2004,Sunday,Harvest Festival,Observance
05/12/2004,Sunday,Good Neighborliness Day,Observance
12/12/2004,Sunday,Day of Neutrality,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
01/01/2005,Saturday,New Year's Day,Public Holiday
12/01/2005,Wednesday,Memory Day,Public Holiday
21/01/2005,Friday,Kurban Bayramy,Public Holiday
19/02/2005,Saturday,State Flag of Turkmenistan Day,Public Holiday
08/03/2005,Tuesday,International Women's Day,Public Holiday
20/03/2005,Sunday,Nowruz Bayram (Spring Festival),Public Holiday
20/03/2005,Sunday,March Equinox,Season
03/04/2005,Sunday,A Drop of Water - A grain of Gold,Observance
24/04/2005,Sunday,Turkmen Racing Horse Festival,Observance
08/05/2005,Sunday,Commemoration National Heroes WWII,Public Holiday
09/05/2005,Monday,Victory Day,Public Holiday
18/05/2005,Wednesday,"Day of Revival, Unity, and the Poetry of Magtymguly",Public Holiday
22/05/2005,Sunday,Carpet Day,Observance
21/06/2005,Tuesday,June Solstice,Season
17/07/2005,Sunday,Galla Bayramy (Wheat Harvest Festival),Observance
14/08/2005,Sunday,Turkmen Melon Day,Observance
11/09/2005,Sunday,Day of the Workers in the Energy Sector,Observance
11/09/2005,Sunday,Turkmen Bakhshi Day,Observance
23/09/2005,Friday,September Equinox,Season
06/10/2005,Thursday,Day of Commemoration and National Mourning,Public Holiday
27/10/2005,Thursday,Independence Day,Public Holiday
04/11/2005,Friday,Oraza Bayram,Public Holiday
05/11/2005,Saturday,Health Day,Observance
27/11/2005,Sunday,Harvest Festival,Observance
04/12/2005,Sunday,Good Neighborliness Day,Observance
12/12/2005,Monday,Day of Neutrality,Public Holiday
21/12/2005,Wednesday,December Solstice,Season
01/01/2006,Sunday,New Year's Day,Public Holiday
10/01/2006,Tuesday,Kurban Bayramy,Public Holiday
12/01/2006,Thursday,Memory Day,Public Holiday
19/02/2006,Sunday,State Flag of Turkmenistan Day,Public Holiday
08/03/2006,Wednesday,International Women's Day,Public Holiday
20/03/2006,Monday,Nowruz Bayram (Spring Festival),Public Holiday
20/03/2006,Monday,March Equinox,Season
02/04/2006,Sunday,A Drop of Water - A grain of Gold,Observance
30/04/2006,Sunday,Turkmen Racing Horse Festival,Observance
08/05/2006,Monday,Commemoration National Heroes WWII,Public Holiday
09/05/2006,Tuesday,Victory Day,Public Holiday
18/05/2006,Thursday,"Day of Revival, Unity, and the Poetry of Magtymguly",Public Holiday
28/05/2006,Sunday,Carpet Day,Observance
21/06/2006,Wednesday,June Solstice,Season
16/07/2006,Sunday,Galla Bayramy (Wheat Harvest Festival),Observance
13/08/2006,Sunday,Turkmen Melon Day,Observance
10/09/2006,Sunday,Day of the Workers in the Energy Sector,Observance
10/09/2006,Sunday,Turkmen Bakhshi Day,Observance
23/09/2006,Saturday,September Equinox,Season
06/10/2006,Friday,Day of Commemoration and National Mourning,Public Holiday
24/10/2006,Tuesday,Oraza Bayram,Public Holiday
27/10/2006,Friday,Independence Day,Public Holiday
04/11/2006,Saturday,Health Day,Observance
26/11/2006,Sunday,Harvest Festival,Observance
03/12/2006,Sunday,Good Neighborliness Day,Observance
12/12/2006,Tuesday,Day of Neutrality,Public Holiday
22/12/2006,Friday,December Solstice,Season
31/12/2006,Sunday,Kurban Bayramy,Public Holiday
01/01/2007,Monday,New Year's Day,Public Holiday
12/01/2007,Friday,Memory Day,Public Holiday
19/02/2007,Monday,State Flag of Turkmenistan Day,Public Holiday
08/03/2007,Thursday,International Women's Day,Public Holiday
20/03/2007,Tuesday,Nowruz Bayram (Spring Festival),Public Holiday
21/03/2007,Wednesday,March Equinox,Season
01/04/2007,Sunday,A Drop of Water - A grain of Gold,Observance
