Date,Day,Name,Type
01/01/2014,Wednesday,New Year's Day,Public Holiday
10/03/2014,Monday,Commonwealth Day,Public Holiday
20/03/2014,Thursday,March Equinox,Season
18/04/2014,Friday,Good Friday,Public Holiday
21/04/2014,Monday,Easter Monday,Public Holiday
26/05/2014,Monday,National Heroes Day,Public Holiday
09/06/2014,Monday,Queen Elizabeth II's Birthday,Public Holiday
21/06/2014,Saturday,June Solstice,Season
01/08/2014,Friday,Emancipation Day,Public Holiday
22/09/2014,Monday,September Equinox,Season
26/09/2014,Friday,National Youth Day,Public Holiday
13/10/2014,Monday,National Heritage Day,Public Holiday
10/11/2014,Monday,Remembrance Day,Observance
28/11/2014,Friday,Thanksgiving Day,Public Holiday
10/12/2014,Wednesday,International Human Rights Day,Observance
21/12/2014,Sunday,December Solstice,Season
25/12/2014,Thursday,Christmas Day,Public Holiday
26/12/2014,Friday,Boxing Day,Public Holiday
01/01/2015,Thursday,New Year's Day,Public Holiday
09/03/2015,Monday,Commonwealth Day,Public Holiday
20/03/2015,Friday,March Equinox,Season
03/04/2015,Friday,Good Friday,Public Holiday
06/04/2015,Monday,Easter Monday,Public Holiday
25/05/2015,Monday,National Heroes Day,Public Holiday
08/06/2015,Monday,Queen Elizabeth II's Birthday,Public Holiday
21/06/2015,Sunday,June Solstice,Season
03/08/2015,Monday,Emancipation Day,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
25/09/2015,Friday,National Youth Day,Public Holiday
12/10/2015,Monday,National Heritage Day,Public Holiday
10/11/2015,Tuesday,Remembrance Day,Observance
27/11/2015,Friday,Thanksgiving Day,Public Holiday
10/12/2015,Thursday,International Human Rights Day,Observance
22/12/2015,Tuesday,December Solstice,Season
25/12/2015,Friday,Christmas Day,Public Holiday
26/12/2015,Saturday,Boxing Day,Public Holiday
28/12/2015,Monday,Day off for Boxing Day,Public Holiday
01/01/2016,Friday,New Year's Day,Public Holiday
14/03/2016,Monday,Commonwealth Day,Public Holiday
20/03/2016,Sunday,March Equinox,Season
25/03/2016,Friday,Good Friday,Public Holiday
28/03/2016,Monday,Easter Monday,Public Holiday
30/05/2016,Monday,National Heroes Day,Public Holiday
13/06/2016,Monday,Queen Elizabeth II's Birthday,Public Holiday
20/06/2016,Monday,June Solstice,Season
01/08/2016,Monday,Emancipation Day,Public Holiday
22/09/2016,Thursday,September Equinox,Season
30/09/2016,Friday,National Youth Day,Public Holiday
10/10/2016,Monday,National Heritage Day,Public Holiday
10/11/2016,Thursday,Remembrance Day,Observance
25/11/2016,Friday,Thanksgiving Day,Public Holiday
10/12/2016,Saturday,International Human Rights Day,Observance
21/12/2016,Wednesday,December Solstice,Season
25/12/2016,Sunday,Christmas Day,Public Holiday
26/12/2016,Monday,Day off for Christmas Day,Public Holiday
26/12/2016,Monday,Boxing Day,Public Holiday
27/12/2016,Tuesday,Day off for Boxing Day,Public Holiday
01/01/2017,Sunday,New Year's Day,Public Holiday
02/01/2017,Monday,Day off for New Year's Day,Public Holiday
10/03/2017,Friday,Commonwealth Day,Public Holiday
20/03/2017,Monday,March Equinox,Season
14/04/2017,Friday,Good Friday,Public Holiday
17/04/2017,Monday,Easter Monday,Public Holiday
29/05/2017,Monday,National Heroes Day,Public Holiday
12/06/2017,Monday,Queen Elizabeth II's Birthday,Public Holiday
21/06/2017,Wednesday,June Solstice,Season
01/08/2017,Tuesday,Emancipation Day,Public Holiday
22/09/2017,Friday,September Equinox,Season
29/09/2017,Friday,National Youth Day,Public Holiday
09/10/2017,Monday,National Heritage Day,Public Holiday
10/11/2017,Friday,Remembrance Day,Observance
24/11/2017,Friday,Thanksgiving Day,Public Holiday
10/12/2017,Sunday,International Human Rights Day,Observance
21/12/2017,Thursday,December Solstice,Season
25/12/2017,Monday,Christmas Day,Public Holiday
26/12/2017,Tuesday,Boxing Day,Public Holiday
01/01/2018,Monday,New Year's Day,Public Holiday
12/03/2018,Monday,Commonwealth Day,Public Holiday
20/03/2018,Tuesday,March Equinox,Season
30/03/2018,Friday,Good Friday,Public Holiday
02/04/2018,Monday,Easter Monday,Public Holiday
28/05/2018,Monday,National Heroes Day,Public Holiday
11/06/2018,Monday,Queen Elizabeth II's Birthday,Public Holiday
21/06/2018,Thursday,June Solstice,Season
06/08/2018,Monday,Emancipation Day,Public Holiday
22/09/2018,Saturday,September Equinox,Season
28/09/2018,Friday,National Youth Day,Public Holiday
08/10/2018,Monday,National Heritage Day,Public Holiday
10/11/2018,Saturday,Remembrance Day,Observance
23/11/2018,Friday,Thanksgiving Day,Public Holiday
10/12/2018,Monday,International Human Rights Day,Observance
21/12/2018,Friday,December Solstice,Season
25/12/2018,Tuesday,Christmas Day,Public Holiday
26/12/2018,Wednesday,Boxing Day,Public Holiday
01/01/2019,Tuesday,New Year's Day,Public Holiday
11/03/2019,Monday,Commonwealth Day,Public Holiday
20/03/2019,Wednesday,March Equinox,Season
19/04/2019,Friday,Good Friday,Public Holiday
22/04/2019,Monday,Easter Monday,Public Holiday
27/05/2019,Monday,National Heroes Day,Public Holiday
10/06/2019,Monday,Queen Elizabeth II's Birthday,Public Holiday
21/06/2019,Friday,June Solstice,Season
01/08/2019,Thursday,Emancipation Day,Public Holiday
23/09/2019,Monday,September Equinox,Season
27/09/2019,Friday,National Youth Day,Public Holiday
14/10/2019,Monday,National Heritage Day,Public Holiday
10/11/2019,Sunday,Remembrance Day,Observance
29/11/2019,Friday,Thanksgiving Day,Public Holiday
10/12/2019,Tuesday,International Human Rights Day,Observance
21/12/2019,Saturday,December Solstice,Season
25/12/2019,Wednesday,Christmas Day,Public Holiday
26/12/2019,Thursday,Boxing Day,Public Holiday
01/01/2020,Wednesday,New Year's Day,Public Holiday
09/03/2020,Monday,Commonwealth Day,Public Holiday
19/03/2020,Thursday,March Equinox,Season
10/04/2020,Friday,Good Friday,Public Holiday
13/04/2020,Monday,Easter Monday,Public Holiday
25/05/2020,Monday,JAGS McCartney Day,Public Holiday
08/06/2020,Monday,Queen Elizabeth II's Birthday,Public Holiday
20/06/2020,Saturday,June Solstice,Season
01/08/2020,Saturday,Emancipation Day,Public Holiday
03/08/2020,Monday,Day off for Emancipation Day,Public Holiday
22/09/2020,Tuesday,September Equinox,Season
25/09/2020,Friday,National Youth Day,Public Holiday
12/10/2020,Monday,National Heritage Day,Public Holiday
10/11/2020,Tuesday,Remembrance Day,Observance
27/11/2020,Friday,Thanksgiving Day,Public Holiday
10/12/2020,Thursday,International Human Rights Day,Observance
21/12/2020,Monday,December Solstice,Season
25/12/2020,Friday,Christmas Day,Public Holiday
26/12/2020,Saturday,Boxing Day,Public Holiday
28/12/2020,Monday,Day off for Boxing Day,Public Holiday
01/01/2021,Friday,New Year's Day,Public Holiday
08/03/2021,Monday,Commonwealth Day,Public Holiday
20/03/2021,Saturday,March Equinox,Season
02/04/2021,Friday,Good Friday,Public Holiday
05/04/2021,Monday,Easter Monday,Public Holiday
31/05/2021,Monday,JAGS McCartney Day,Public Holiday
14/06/2021,Monday,Queen Elizabeth II's Birthday,Public Holiday
20/06/2021,Sunday,June Solstice,Season
01/08/2021,Sunday,Emancipation Day,Public Holiday
02/08/2021,Monday,Day off for Emancipation Day,Public Holiday
22/09/2021,Wednesday,September Equinox,Season
24/09/2021,Friday,National Youth Day,Public Holiday
11/10/2021,Monday,National Heritage Day,Public Holiday
10/11/2021,Wednesday,Remembrance Day,Observance
26/11/2021,Friday,Thanksgiving Day,Public Holiday
10/12/2021,Friday,International Human Rights Day,Observance
21/12/2021,Tuesday,December Solstice,Season
25/12/2021,Saturday,Christmas Day,Public Holiday
26/12/2021,Sunday,Boxing Day,Public Holiday
27/12/2021,Monday,Day off for Christmas Day,Public Holiday
28/12/2021,Tuesday,Day off for Boxing Day,Public Holiday
01/01/2022,Saturday,New Year's Day,Public Holiday
03/01/2022,Monday,Day off for New Year's Day,Public Holiday
14/03/2022,Monday,Commonwealth Day,Public Holiday
20/03/2022,Sunday,March Equinox,Season
15/04/2022,Friday,Good Friday,Public Holiday
18/04/2022,Monday,Easter Monday,Public Holiday
30/05/2022,Monday,JAGS McCartney Day,Public Holiday
03/06/2022,Friday,Queen Elizabeth II's Birthday,Public Holiday
06/06/2022,Monday,Queen Elizabeth II's Platinum Jubilee,Public Holiday
21/06/2022,Tuesday,June Solstice,Season
01/08/2022,Monday,Emancipation Day,Public Holiday
22/09/2022,Thursday,September Equinox,Season
30/09/2022,Friday,National Youth Day,Public Holiday
10/10/2022,Monday,National Heritage Day,Public Holiday
10/11/2022,Thursday,Remembrance Day,Observance
25/11/2022,Friday,Thanksgiving Day,Public Holiday
10/12/2022,Saturday,International Human Rights Day,Observance
21/12/2022,Wednesday,December Solstice,Season
25/12/2022,Sunday,Christmas Day,Public Holiday
26/12/2022,Monday,Day off for Christmas Day,Public Holiday
26/12/2022,Monday,Boxing Day,Public Holiday
27/12/2022,Tuesday,Day off for Boxing Day,Public Holiday
