Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
03/01/2000,Monday,Day off for New Year's Day,National holiday
07/01/2000,Friday,Orthodox Christmas Day,"National holiday, Orthodox"
14/01/2000,Friday,Orthodox New Year,"Observance, Orthodox"
22/01/2000,Saturday,Ukrainian Unity Day,Observance
14/02/2000,Monday,Valentine's Day,Observance
23/02/2000,Wednesday,Day of Defenders and Defenders of Ukraine,Observance
08/03/2000,Wednesday,International Women's Day,National holiday
20/03/2000,Monday,March Equinox,Season
23/03/2000,Thursday,Cultural Workers and Folk Artists Day,Observance
26/03/2000,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
01/04/2000,Saturday,April Fools,Observance
30/04/2000,Sunday,Othodox Easter Day,"National holiday, Orthodox"
01/05/2000,Monday,Orthodox Easter Monday,"National holiday, Orthodox"
01/05/2000,Monday,Labor Day,National holiday
09/05/2000,Tuesday,Victory Day,National holiday
14/05/2000,Sunday,Mother's Day,Observance
20/05/2000,Saturday,Europe Day,Observance
28/05/2000,Sunday,Kyiv Day,Observance
06/06/2000,Tuesday,Journalists' Day,Observance
18/06/2000,Sunday,Orthodox Pentecost,"National holiday, Orthodox"
19/06/2000,Monday,Orthodox Pentecost Holiday,"National holiday, Orthodox"
21/06/2000,Wednesday,June Solstice,Season
28/06/2000,Wednesday,Constitution Day,National holiday
06/07/2000,Thursday,Kupala Night,Observance
24/08/2000,Thursday,Independence Day,National holiday
22/09/2000,Friday,September Equinox,Season
29/10/2000,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
06/12/2000,Wednesday,Army Day,Observance
19/12/2000,Tuesday,St. Nicholas Day,"Observance, Orthodox"
21/12/2000,Thursday,December Solstice,Season
01/01/2001,Monday,New Year's Day,National holiday
07/01/2001,Sunday,Orthodox Christmas Day,"National holiday, Orthodox"
08/01/2001,Monday,Day off for Orthodox Christmas Day,"National holiday, Orthodox"
14/01/2001,Sunday,Orthodox New Year,"Observance, Orthodox"
22/01/2001,Monday,Ukrainian Unity Day,Observance
14/02/2001,Wednesday,Valentine's Day,Observance
23/02/2001,Friday,Day of Defenders and Defenders of Ukraine,Observance
08/03/2001,Thursday,International Women's Day,National holiday
20/03/2001,Tuesday,March Equinox,Season
23/03/2001,Friday,Cultural Workers and Folk Artists Day,Observance
25/03/2001,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
01/04/2001,Sunday,April Fools,Observance
15/04/2001,Sunday,Othodox Easter Day,"National holiday, Orthodox"
16/04/2001,Monday,Orthodox Easter Monday,"National holiday, Orthodox"
01/05/2001,Tuesday,Labor Day,National holiday
09/05/2001,Wednesday,Victory Day,National holiday
13/05/2001,Sunday,Mother's Day,Observance
19/05/2001,Saturday,Europe Day,Observance
27/05/2001,Sunday,Kyiv Day,Observance
03/06/2001,Sunday,Orthodox Pentecost,"National holiday, Orthodox"
04/06/2001,Monday,Orthodox Pentecost Holiday,"National holiday, Orthodox"
06/06/2001,Wednesday,Journalists' Day,Observance
21/06/2001,Thursday,June Solstice,Season
22/06/2001,Friday,Day of Mourning and Commemoration of War Victims,Observance
28/06/2001,Thursday,Constitution Day,National holiday
06/07/2001,Friday,Kupala Night,Observance
24/08/2001,Friday,Independence Day,National holiday
23/09/2001,Sunday,September Equinox,Season
28/10/2001,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
06/12/2001,Thursday,Army Day,Observance
19/12/2001,Wednesday,St. Nicholas Day,"Observance, Orthodox"
21/12/2001,Friday,December Solstice,Season
01/01/2002,Tuesday,New Year's Day,National holiday
07/01/2002,Monday,Orthodox Christmas Day,"National holiday, Orthodox"
14/01/2002,Monday,Orthodox New Year,"Observance, Orthodox"
22/01/2002,Tuesday,Ukrainian Unity Day,Observance
14/02/2002,Thursday,Valentine's Day,Observance
23/02/2002,Saturday,Day of Defenders and Defenders of Ukraine,Observance
08/03/2002,Friday,International Women's Day,National holiday
20/03/2002,Wednesday,March Equinox,Season
23/03/2002,Saturday,Cultural Workers and Folk Artists Day,Observance
31/03/2002,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
01/04/2002,Monday,April Fools,Observance
01/05/2002,Wednesday,Labor Day,National holiday
05/05/2002,Sunday,Othodox Easter Day,"National holiday, Orthodox"
