Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
08/01/2000,Saturday,Eid al-Fitr,National holiday
07/03/2000,Tuesday,Hajj season begins,Observance
15/03/2000,Wednesday,Arafat (Hajj) Day,National holiday
16/03/2000,Thursday,Eid al-Adha (Feast of Sacrifice),National holiday
20/03/2000,Monday,March Equinox,Season
06/04/2000,Thursday,Al-Hijra (Islamic New Year),National holiday
15/06/2000,Thursday,Mouloud,National holiday
21/06/2000,Wednesday,June Solstice,Season
22/09/2000,Friday,September Equinox,Season
26/10/2000,Thursday,Leilat al-Meiraj (The Prophet's Ascension),National holiday
02/12/2000,Saturday,National Day,National holiday
21/12/2000,Thursday,December Solstice,Season
28/12/2000,Thursday,Eid al-Fitr,National holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
25/02/2001,Sunday,Hajj season begins,Observance
05/03/2001,Monday,Arafat (Hajj) Day,National holiday
06/03/2001,Tuesday,Eid al-Adha (Feast of Sacrifice),National holiday
20/03/2001,Tuesday,March Equinox,Season
26/03/2001,Monday,Al-Hijra (Islamic New Year),National holiday
04/06/2001,Monday,Mouloud,National holiday
21/06/2001,Thursday,June Solstice,Season
23/09/2001,Sunday,September Equinox,Season
15/10/2001,Monday,Leilat al-Meiraj (The Prophet's Ascension),National holiday
02/12/2001,Sunday,National Day,National holiday
17/12/2001,Monday,Eid al-Fitr,National holiday
21/12/2001,Friday,December Solstice,Season
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,National holiday
14/02/2002,Thursday,Hajj season begins,Observance
22/02/2002,Friday,Arafat (Hajj) Day,National holiday
23/02/2002,Saturday,Eid al-Adha (Feast of Sacrifice),National holiday
15/03/2002,Friday,Al-Hijra (Islamic New Year),National holiday
20/03/2002,Wednesday,March Equinox,Season
24/05/2002,Friday,Mouloud,National holiday
21/06/2002,Friday,June Solstice,Season
23/09/2002,Monday,September Equinox,Season
