Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
06/01/2000,Thursday,The Three Wise Men Day,Bank / working holiday
06/03/2000,Monday,Carnival / Shrove Monday,Bank / working holiday
07/03/2000,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Bank / working holiday
20/03/2000,Monday,March Equinox,Season
17/04/2000,Monday,Landing of the 33 orientals,Bank / working holiday
20/04/2000,Thursday,Maundy Thursday,"Observance, Christian"
21/04/2000,Friday,Good Friday,"Observance, Christian"
23/04/2000,Sunday,Easter Sunday,"Observance, Christian"
01/05/2000,Monday,Labor Day / May Day,National holiday
18/05/2000,Thursday,Battle of Las Piedras,Observance
19/06/2000,Monday,José Artigas' Birthday Memorial,Bank / working holiday
20/06/2000,Tuesday,June Solstice,Season
18/07/2000,Tuesday,Constitution Day,National holiday
25/08/2000,Friday,Independence Day,National holiday
22/09/2000,Friday,September Equinox,Season
12/10/2000,Thursday,Columbus Day,Bank / working holiday
02/11/2000,Thursday,All Souls' Day,"Observance, Christian"
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,"Observance, Christian"
25/12/2000,Monday,Christmas Day,"National holiday, Christian"
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
06/01/2001,Saturday,The Three Wise Men Day,Bank / working holiday
26/02/2001,Monday,Carnival / Shrove Monday,Bank / working holiday
27/02/2001,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Bank / working holiday
20/03/2001,Tuesday,March Equinox,Season
12/04/2001,Thursday,Maundy Thursday,"Observance, Christian"
13/04/2001,Friday,Good Friday,"Observance, Christian"
15/04/2001,Sunday,Easter Sunday,"Observance, Christian"
23/04/2001,Monday,Landing of the 33 orientals,Bank / working holiday
01/05/2001,Tuesday,Labor Day / May Day,National holiday
18/05/2001,Friday,Battle of Las Piedras,Observance
19/06/2001,Tuesday,José Artigas' Birthday Memorial,Bank / working holiday
21/06/2001,Thursday,June Solstice,Season
18/07/2001,Wednesday,Constitution Day,National holiday
25/08/2001,Saturday,Independence Day,National holiday
22/09/2001,Saturday,September Equinox,Season
12/10/2001,Friday,Columbus Day,Bank / working holiday
02/11/2001,Friday,All Souls' Day,"Observance, Christian"
21/12/2001,Friday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,"Observance, Christian"
25/12/2001,Tuesday,Christmas Day,"National holiday, Christian"
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,National holiday
06/01/2002,Sunday,The Three Wise Men Day,Bank / working holiday
11/02/2002,Monday,Carnival / Shrove Monday,Bank / working holiday
12/02/2002,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Bank / working holiday
20/03/2002,Wednesday,March Equinox,Season
28/03/2002,Thursday,Maundy Thursday,"Observance, Christian"
29/03/2002,Friday,Good Friday,"Observance, Christian"
31/03/2002,Sunday,Easter Sunday,"Observance, Christian"
22/04/2002,Monday,Landing of the 33 orientals,Bank / working holiday
01/05/2002,Wednesday,Labor Day / May Day,National holiday
18/05/2002,Saturday,Battle of Las Piedras,Observance
19/06/2002,Wednesday,José Artigas' Birthday Memorial,Bank / working holiday
21/06/2002,Friday,June Solstice,Season
18/07/2002,Thursday,Constitution Day,National holiday
25/08/2002,Sunday,Independence Day,National holiday
23/09/2002,Monday,September Equinox,Season
12/10/2002,Saturday,Columbus Day,Bank / working holiday
02/11/2002,Saturday,All Souls' Day,"Observance, Christian"
21/12/2002,Saturday,December Solstice,Season
24/12/2002,Tuesday,Christmas Eve,"Observance, Christian"
25/12/2002,Wednesday,Christmas Day,"National holiday, Christian"
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,National holiday
06/01/2003,Monday,The Three Wise Men Day,Bank / working holiday
03/03/2003,Monday,Carnival / Shrove Monday,Bank / working holiday
04/03/2003,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Bank / working holiday
20/03/2003,Thursday,March Equinox,Season
17/04/2003,Thursday,Maundy Thursday,"Observance, Christian"
18/04/2003,Friday,Good Friday,"Observance, Christian"
19/04/2003,Saturday,Landing of the 33 orientals,Bank / working holiday
20/04/2003,Sunday,Easter Sunday,"Observance, Christian"
01/05/2003,Thursday,Labor Day / May Day,National holiday
18/05/2003,Sunday,Battle of Las Piedras,Observance
19/06/2003,Thursday,José Artigas' Birthday Memorial,Bank / working holiday
21/06/2003,Saturday,June Solstice,Season
18/07/2003,Friday,Constitution Day,National holiday
25/08/2003,Monday,Independence Day,National holiday
23/09/2003,Tuesday,September Equinox,Season
12/10/2003,Sunday,Columbus Day,Bank / working holiday
02/11/2003,Sunday,All Souls' Day,"Observance, Christian"
22/12/2003,Monday,December Solstice,Season
24/12/2003,Wednesday,Christmas Eve,"Observance, Christian"
25/12/2003,Thursday,Christmas Day,"National holiday, Christian"
31/12/2003,Wednesday,New Year's Eve,Observance
01/01/2004,Thursday,New Year's Day,National holiday
06/01/2004,Tuesday,The Three Wise Men Day,Bank / working holiday
23/02/2004,Monday,Carnival / Shrove Monday,Bank / working holiday
24/02/2004,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Bank / working holiday
20/03/2004,Saturday,March Equinox,Season
