Date,Day,Name,Type
01/01/2000,Saturday,New Year,Public Holiday
08/01/2000,Saturday,Eid al-Fitr,Public Holiday
14/01/2000,Friday,Defenders of the Motherland Day,Observance
08/03/2000,Wednesday,International Women's Day,Public Holiday
16/03/2000,Thursday,Eid al-Adha,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/03/2000,Tuesday,Nowruz,Public Holiday
09/05/2000,Tuesday,Remembrance Day,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
01/09/2000,Friday,Independence Day,Public Holiday
22/09/2000,Friday,September Equinox,Season
01/10/2000,Sunday,Teachers Day,Public Holiday
08/12/2000,Friday,Constitution Day,Public Holiday
21/12/2000,Thursday,December Solstice,Season
28/12/2000,Thursday,Eid al-Fitr,Public Holiday
01/01/2001,Monday,New Year,Public Holiday
14/01/2001,Sunday,Defenders of the Motherland Day,Observance
06/03/2001,Tuesday,Eid al-Adha,Public Holiday
08/03/2001,Thursday,International Women's Day,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
21/03/2001,Wednesday,Nowruz,Public Holiday
09/05/2001,Wednesday,Remembrance Day,Public Holiday
21/06/2001,Thursday,June Solstice,Season
01/09/2001,Saturday,Independence Day,Public Holiday
23/09/2001,Sunday,September Equinox,Season
01/10/2001,Monday,Teachers Day,Public Holiday
08/12/2001,Saturday,Constitution Day,Public Holiday
17/12/2001,Monday,Eid al-Fitr,Public Holiday
22/12/2001,Saturday,December Solstice,Season
01/01/2002,Tuesday,New Year,Public Holiday
14/01/2002,Monday,Defenders of the Motherland Day,Observance
23/02/2002,Saturday,Eid al-Adha,Public Holiday
08/03/2002,Friday,International Women's Day,Public Holiday
21/03/2002,Thursday,Nowruz,Public Holiday
21/03/2002,Thursday,March Equinox,Season
09/05/2002,Thursday,Remembrance Day,Public Holiday
21/06/2002,Friday,June Solstice,Season
01/09/2002,Sunday,Independence Day,Public Holiday
23/09/2002,Monday,September Equinox,Season
01/10/2002,Tuesday,Teachers Day,Public Holiday
06/12/2002,Friday,Eid al-Fitr,Public Holiday
08/12/2002,Sunday,Constitution Day,Public Holiday
22/12/2002,Sunday,December Solstice,Season
01/01/2003,Wednesday,New Year,Public Holiday
14/01/2003,Tuesday,Defenders of the Motherland Day,Observance
12/02/2003,Wednesday,Eid al-Adha,Public Holiday
08/03/2003,Saturday,International Women's Day,Public Holiday
21/03/2003,Friday,Nowruz,Public Holiday
21/03/2003,Friday,March Equinox,Season
09/05/2003,Friday,Remembrance Day,Public Holiday
22/06/2003,Sunday,June Solstice,Season
01/09/2003,Monday,Independence Day,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
01/10/2003,Wednesday,Teachers Day,Public Holiday
26/11/2003,Wednesday,Eid al-Fitr,Public Holiday
08/12/2003,Monday,Constitution Day,Public Holiday
22/12/2003,Monday,December Solstice,Season
01/01/2004,Thursday,New Year,Public Holiday
14/01/2004,Wednesday,Defenders of the Motherland Day,Observance
02/02/2004,Monday,Eid al-Adha,Public Holiday
08/03/2004,Monday,International Women's Day,Public Holiday
20/03/2004,Saturday,March Equinox,Season
21/03/2004,Sunday,Nowruz,Public Holiday
09/05/2004,Sunday,Remembrance Day,Public Holiday
21/06/2004,Monday,June Solstice,Season
01/09/2004,Wednesday,Independence Day,Public Holiday
22/09/2004,Wednesday,September Equinox,Season
01/10/2004,Friday,Teachers Day,Public Holiday
14/11/2004,Sunday,Eid al-Fitr,Public Holiday
08/12/2004,Wednesday,Constitution Day,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
01/01/2005,Saturday,New Year,Public Holiday
14/01/2005,Friday,Defenders of the Motherland Day,Observance
21/01/2005,Friday,Eid al-Adha,Public Holiday
08/03/2005,Tuesday,International Women's Day,Public Holiday
20/03/2005,Sunday,March Equinox,Season
21/03/2005,Monday,Nowruz,Public Holiday
09/05/2005,Monday,Remembrance Day,Public Holiday
21/06/2005,Tuesday,June Solstice,Season
01/09/2005,Thursday,Independence Day,Public Holiday
23/09/2005,Friday,September Equinox,Season
01/10/2005,Saturday,Teachers Day,Public Holiday
04/11/2005,Friday,Eid al-Fitr,Public Holiday
08/12/2005,Thursday,Constitution Day,Public Holiday
21/12/2005,Wednesday,December Solstice,Season
01/01/2006,Sunday,New Year,Public Holiday
10/01/2006,Tuesday,Eid al-Adha,Public Holiday
14/01/2006,Saturday,Defenders of the Motherland Day,Observance
08/03/2006,Wednesday,International Women's Day,Public Holiday
20/03/2006,Monday,March Equinox,Season
21/03/2006,Tuesday,Nowruz,Public Holiday
09/05/2006,Tuesday,Remembrance Day,Public Holiday
21/06/2006,Wednesday,June Solstice,Season
01/09/2006,Friday,Independence Day,Public Holiday
23/09/2006,Saturday,September Equinox,Season
01/10/2006,Sunday,Teachers Day,Public Holiday
24/10/2006,Tuesday,Eid al-Fitr,Public Holiday
08/12/2006,Friday,Constitution Day,Public Holiday
22/12/2006,Friday,December Solstice,Season
31/12/2006,Sunday,Eid al-Adha,Public Holiday
01/01/2007,Monday,New Year,Public Holiday
14/01/2007,Sunday,Defenders of the Motherland Day,Observance
08/03/2007,Thursday,International Women's Day,Public Holiday
21/03/2007,Wednesday,Nowruz,Public Holiday
21/03/2007,Wednesday,March Equinox,Season
09/05/2007,Wednesday,Remembrance Day,Public Holiday
21/06/2007,Thursday,June Solstice,Season
01/09/2007,Saturday,Independence Day,Public Holiday
23/09/2007,Sunday,September Equinox,Season
01/10/2007,Monday,Teachers Day,Public Holiday
13/10/2007,Saturday,Eid al-Fitr,Public Holiday
08/12/2007,Saturday,Constitution Day,Public Holiday
20/12/2007,Thursday,Eid al-Adha,Public Holiday
22/12/2007,Saturday,December Solstice,Season
01/01/2008,Tuesday,New Year,Public Holiday
14/01/2008,Monday,Defenders of the Motherland Day,Observance
08/03/2008,Saturday,International Women's Day,Public Holiday
20/03/2008,Thursday,March Equinox,Season
21/03/2008,Friday,Nowruz,Public Holiday
09/05/2008,Friday,Remembrance Day,Public Holiday
21/06/2008,Saturday,June Solstice,Season
01/09/2008,Monday,Independence Day,Public Holiday
22/09/2008,Monday,September Equinox,Season
01/10/2008,Wednesday,Teachers Day,Public Holiday
02/10/2008,Thursday,Eid al-Fitr,Public Holiday
08/12/2008,Monday,Constitution Day,Public Holiday
09/12/2008,Tuesday,Eid al-Adha,Public Holiday
21/12/2008,Sunday,December Solstice,Season
01/01/2009,Thursday,New Year,Public Holiday
14/01/2009,Wednesday,Defenders of the Motherland Day,Observance
08/03/2009,Sunday,International Women's Day,Public Holiday
