Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
21/02/2000,Monday,Father Lini Day,Public Holiday
05/03/2000,Sunday,Custom Chief's Day,Public Holiday
06/03/2000,Monday,Day off for Custom Chief's Day,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Good Friday,Public Holiday
24/04/2000,Monday,Easter Monday,Public Holiday
01/05/2000,Monday,Labor Day / May Day,Public Holiday
01/06/2000,Thursday,Ascension Day,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
24/07/2000,Monday,Children's Day,Public Holiday
30/07/2000,Sunday,Independence Day,Public Holiday
31/07/2000,Monday,Day off for Independence Day,Public Holiday
15/08/2000,Tuesday,Assumption of Mary,Public Holiday
23/09/2000,Saturday,September Equinox,Season
05/10/2000,Thursday,Constitution Day,Public Holiday
29/11/2000,Wednesday,Unity Day,Public Holiday
22/12/2000,Friday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
26/12/2000,Tuesday,Family Day,Public Holiday
01/01/2001,Monday,New Year's Day,Public Holiday
21/02/2001,Wednesday,Father Lini Day,Public Holiday
05/03/2001,Monday,Custom Chief's Day,Public Holiday
21/03/2001,Wednesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Public Holiday
16/04/2001,Monday,Easter Monday,Public Holiday
01/05/2001,Tuesday,Labor Day / May Day,Public Holiday
24/05/2001,Thursday,Ascension Day,Public Holiday
21/06/2001,Thursday,June Solstice,Season
24/07/2001,Tuesday,Children's Day,Public Holiday
30/07/2001,Monday,Independence Day,Public Holiday
15/08/2001,Wednesday,Assumption of Mary,Public Holiday
23/09/2001,Sunday,September Equinox,Season
05/10/2001,Friday,Constitution Day,Public Holiday
29/11/2001,Thursday,Unity Day,Public Holiday
22/12/2001,Saturday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
26/12/2001,Wednesday,Family Day,Public Holiday
01/01/2002,Tuesday,New Year's Day,Public Holiday
21/02/2002,Thursday,Father Lini Day,Public Holiday
05/03/2002,Tuesday,Custom Chief's Day,Public Holiday
21/03/2002,Thursday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
01/04/2002,Monday,Easter Monday,Public Holiday
01/05/2002,Wednesday,Labor Day / May Day,Public Holiday
09/05/2002,Thursday,Ascension Day,Public Holiday
22/06/2002,Saturday,June Solstice,Season
