Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
06/01/2000,Thursday,The Three Wise Men Day,Observance
06/03/2000,Monday,Carnival / Shrove Monday,National holiday
07/03/2000,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
19/03/2000,Sunday,Saint Joseph's Day,National holiday
20/03/2000,Monday,March Equinox,Season
16/04/2000,Sunday,Palm Sunday,"Observance, Christian"
19/04/2000,Wednesday,Declaration of Independence,National holiday
20/04/2000,Thursday,Maundy Thursday,"National holiday, Christian"
21/04/2000,Friday,Good Friday,"National holiday, Christian"
23/04/2000,Sunday,Easter Sunday,"Observance, Christian"
01/05/2000,Monday,Labor Day / May Day,National holiday
01/06/2000,Thursday,Ascension Day,Observance
20/06/2000,Tuesday,June Solstice,Season
22/06/2000,Thursday,Corpus Christi,Observance
24/06/2000,Saturday,Carabobo Battle,National holiday
29/06/2000,Thursday,Saint Peter and Saint Paul,Observance
05/07/2000,Wednesday,Independence Day,National holiday
24/07/2000,Monday,Simón Bolívar's Birthday,National holiday
03/08/2000,Thursday,Flag's Day,Observance
04/08/2000,Friday,National Guard's Day,Observance
15/08/2000,Tuesday,Assumption of Mary,Observance
11/09/2000,Monday,Our Lady of Coromoto,Observance
22/09/2000,Friday,September Equinox,Season
12/10/2000,Thursday,Day of Indigenous Resistance,National holiday
01/11/2000,Wednesday,All Saints Day,Observance
02/11/2000,Thursday,All Souls Day,National holiday
08/12/2000,Friday,Feast of the Immaculate Conception,Observance
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,"National holiday, Christian"
25/12/2000,Monday,Christmas Day,"National holiday, Christian"
25/12/2000,Monday,Christmas Eve observed,"National holiday, Christian"
31/12/2000,Sunday,New Year's Eve,National holiday
01/01/2001,Monday,New Year's Day,National holiday
06/01/2001,Saturday,The Three Wise Men Day,Observance
26/02/2001,Monday,Carnival / Shrove Monday,National holiday
27/02/2001,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
19/03/2001,Monday,Saint Joseph's Day,National holiday
20/03/2001,Tuesday,March Equinox,Season
08/04/2001,Sunday,Palm Sunday,"Observance, Christian"
12/04/2001,Thursday,Maundy Thursday,"National holiday, Christian"
13/04/2001,Friday,Good Friday,"National holiday, Christian"
15/04/2001,Sunday,Easter Sunday,"Observance, Christian"
19/04/2001,Thursday,Declaration of Independence,National holiday
01/05/2001,Tuesday,Labor Day / May Day,National holiday
24/05/2001,Thursday,Ascension Day,Observance
14/06/2001,Thursday,Corpus Christi,Observance
21/06/2001,Thursday,June Solstice,Season
24/06/2001,Sunday,Carabobo Battle,National holiday
29/06/2001,Friday,Saint Peter and Saint Paul,Observance
05/07/2001,Thursday,Independence Day,National holiday
24/07/2001,Tuesday,Simón Bolívar's Birthday,National holiday
03/08/2001,Friday,Flag's Day,Observance
04/08/2001,Saturday,National Guard's Day,Observance
15/08/2001,Wednesday,Assumption of Mary,Observance
11/09/2001,Tuesday,Our Lady of Coromoto,Observance
22/09/2001,Saturday,September Equinox,Season
12/10/2001,Friday,Day of Indigenous Resistance,National holiday
01/11/2001,Thursday,All Saints Day,Observance
02/11/2001,Friday,All Souls Day,National holiday
08/12/2001,Saturday,Feast of the Immaculate Conception,Observance
21/12/2001,Friday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,"National holiday, Christian"
25/12/2001,Tuesday,Christmas Day,"National holiday, Christian"
31/12/2001,Monday,New Year's Eve,National holiday
01/01/2002,Tuesday,New Year's Day,National holiday
06/01/2002,Sunday,The Three Wise Men Day,Observance
11/02/2002,Monday,Carnival / Shrove Monday,National holiday
12/02/2002,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
19/03/2002,Tuesday,Saint Joseph's Day,National holiday
20/03/2002,Wednesday,March Equinox,Season
24/03/2002,Sunday,Palm Sunday,"Observance, Christian"
28/03/2002,Thursday,Maundy Thursday,"National holiday, Christian"
29/03/2002,Friday,Good Friday,"National holiday, Christian"
31/03/2002,Sunday,Easter Sunday,"Observance, Christian"
19/04/2002,Friday,Declaration of Independence,National holiday
01/05/2002,Wednesday,Labor Day / May Day,National holiday
09/05/2002,Thursday,Ascension Day,Observance
30/05/2002,Thursday,Corpus Christi,Observance
21/06/2002,Friday,June Solstice,Season
24/06/2002,Monday,Carabobo Battle,National holiday
29/06/2002,Saturday,Saint Peter and Saint Paul,Observance
05/07/2002,Friday,Independence Day,National holiday
24/07/2002,Wednesday,Simón Bolívar's Birthday,National holiday
03/08/2002,Saturday,Flag's Day,Observance
04/08/2002,Sunday,National Guard's Day,Observance
15/08/2002,Thursday,Assumption of Mary,Observance
11/09/2002,Wednesday,Our Lady of Coromoto,Observance
23/09/2002,Monday,September Equinox,Season
12/10/2002,Saturday,Day of Indigenous Resistance,National holiday
01/11/2002,Friday,All Saints Day,Observance
02/11/2002,Saturday,All Souls Day,National holiday
08/12/2002,Sunday,Feast of the Immaculate Conception,Observance
21/12/2002,Saturday,December Solstice,Season
24/12/2002,Tuesday,Christmas Eve,"National holiday, Christian"
25/12/2002,Wednesday,Christmas Day,"National holiday, Christian"
31/12/2002,Tuesday,New Year's Eve,National holiday
01/01/2003,Wednesday,New Year's Day,National holiday
06/01/2003,Monday,The Three Wise Men Day,Observance
03/03/2003,Monday,Carnival / Shrove Monday,National holiday
04/03/2003,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
19/03/2003,Wednesday,Saint Joseph's Day,National holiday
20/03/2003,Thursday,March Equinox,Season
13/04/2003,Sunday,Palm Sunday,"Observance, Christian"
17/04/2003,Thursday,Maundy Thursday,"National holiday, Christian"
18/04/2003,Friday,Good Friday,"National holiday, Christian"
19/04/2003,Saturday,Declaration of Independence,National holiday
20/04/2003,Sunday,Easter Sunday,"Observance, Christian"
01/05/2003,Thursday,Labor Day / May Day,National holiday
29/05/2003,Thursday,Ascension Day,Observance
19/06/2003,Thursday,Corpus Christi,Observance
21/06/2003,Saturday,June Solstice,Season
