Date,Day,Name,Type
06/01/2000,Thursday,Eid al-Fitr holiday,Public Holiday
07/01/2000,Friday,Eid al-Fitr Eve,Public Holiday
08/01/2000,Saturday,Eid al-Fitr,Public Holiday
09/01/2000,Sunday,Eid al-Fitr holiday,Public Holiday
15/03/2000,Wednesday,Eid al-Adha Eve,Public Holiday
16/03/2000,Thursday,Eid al-Adha,Public Holiday
17/03/2000,Friday,Eid al-Adha holiday,Public Holiday
18/03/2000,Saturday,Eid al-Adha holiday,Public Holiday
19/03/2000,Sunday,Eid al-Adha holiday,Public Holiday
20/03/2000,Monday,March Equinox,Season
06/04/2000,Thursday,Muharram,Public Holiday
01/05/2000,Monday,May Day,Public Holiday
22/05/2000,Monday,Unity Day,Public Holiday
15/06/2000,Thursday,The Prophet's Birthday,Observance
21/06/2000,Wednesday,June Solstice,Season
22/09/2000,Friday,September Equinox,Season
26/09/2000,Tuesday,Revolution Day,Public Holiday
14/10/2000,Saturday,Liberation Day,Public Holiday
30/11/2000,Thursday,Independence Day,Public Holiday
21/12/2000,Thursday,December Solstice,Season
26/12/2000,Tuesday,Eid al-Fitr holiday,Public Holiday
27/12/2000,Wednesday,Eid al-Fitr Eve,Public Holiday
28/12/2000,Thursday,Eid al-Fitr,Public Holiday
29/12/2000,Friday,Eid al-Fitr holiday,Public Holiday
05/03/2001,Monday,Eid al-Adha Eve,Public Holiday
06/03/2001,Tuesday,Eid al-Adha,Public Holiday
07/03/2001,Wednesday,Eid al-Adha holiday,Public Holiday
08/03/2001,Thursday,Eid al-Adha holiday,Public Holiday
09/03/2001,Friday,Eid al-Adha holiday,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
26/03/2001,Monday,Muharram,Public Holiday
01/05/2001,Tuesday,May Day,Public Holiday
22/05/2001,Tuesday,Unity Day,Public Holiday
04/06/2001,Monday,The Prophet's Birthday,Observance
21/06/2001,Thursday,June Solstice,Season
07/07/2001,Saturday,July 7th Anniversary,Observance
23/09/2001,Sunday,September Equinox,Season
26/09/2001,Wednesday,Revolution Day,Public Holiday
14/10/2001,Sunday,Liberation Day,Public Holiday
15/10/2001,Monday,Isra and Mi'raj,Observance
30/11/2001,Friday,Independence Day,Public Holiday
02/12/2001,Sunday,Day off for Independence Day,Public Holiday
15/12/2001,Saturday,Eid al-Fitr holiday,Public Holiday
16/12/2001,Sunday,Eid al-Fitr Eve,Public Holiday
17/12/2001,Monday,Eid al-Fitr,Public Holiday
18/12/2001,Tuesday,Eid al-Fitr holiday,Public Holiday
21/12/2001,Friday,December Solstice,Season
22/02/2002,Friday,Eid al-Adha Eve,Public Holiday
23/02/2002,Saturday,Eid al-Adha,Public Holiday
24/02/2002,Sunday,Eid al-Adha holiday,Public Holiday
25/02/2002,Monday,Eid al-Adha holiday,Public Holiday
26/02/2002,Tuesday,Eid al-Adha holiday,Public Holiday
15/03/2002,Friday,Muharram,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
01/05/2002,Wednesday,May Day,Public Holiday
22/05/2002,Wednesday,Unity Day,Public Holiday
24/05/2002,Friday,The Prophet's Birthday,Observance
21/06/2002,Friday,June Solstice,Season
07/07/2002,Sunday,July 7th Anniversary,Observance
23/09/2002,Monday,September Equinox,Season
