Date,Day,Name,Type
01/01/2000,Saturday,New Year,Public Holiday
08/03/2000,Wednesday,International Women's Day,Public Holiday
12/03/2000,Sunday,Youth Day,Public Holiday
13/03/2000,Monday,Day off for Youth Day,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Good Friday,Public Holiday
22/04/2000,Saturday,Holy Saturday,Public Holiday
23/04/2000,Sunday,Easter Sunday,Observance
24/04/2000,Monday,Easter Monday,Public Holiday
01/05/2000,Monday,Labour Day,Public Holiday
14/05/2000,Sunday,Mother's Day,Observance
25/05/2000,Thursday,Africa Freedom Day,Public Holiday
18/06/2000,Sunday,Father's Day,Observance
21/06/2000,Wednesday,June Solstice,Season
03/07/2000,Monday,Heroes' Day,Public Holiday
04/07/2000,Tuesday,Unity Day,Public Holiday
03/08/2000,Thursday,Farmers' Day,Public Holiday
22/09/2000,Friday,September Equinox,Season
24/10/2000,Tuesday,Independence Day,Public Holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
01/01/2001,Monday,New Year,Public Holiday
08/03/2001,Thursday,International Women's Day,Public Holiday
12/03/2001,Monday,Youth Day,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Public Holiday
14/04/2001,Saturday,Holy Saturday,Public Holiday
15/04/2001,Sunday,Easter Sunday,Observance
16/04/2001,Monday,Easter Monday,Public Holiday
01/05/2001,Tuesday,Labour Day,Public Holiday
13/05/2001,Sunday,Mother's Day,Observance
25/05/2001,Friday,Africa Freedom Day,Public Holiday
17/06/2001,Sunday,Father's Day,Observance
21/06/2001,Thursday,June Solstice,Season
02/07/2001,Monday,Heroes' Day,Public Holiday
03/07/2001,Tuesday,Unity Day,Public Holiday
03/08/2001,Friday,Farmers' Day,Public Holiday
23/09/2001,Sunday,September Equinox,Season
24/10/2001,Wednesday,Independence Day,Public Holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
01/01/2002,Tuesday,New Year,Public Holiday
08/03/2002,Friday,International Women's Day,Public Holiday
12/03/2002,Tuesday,Youth Day,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
30/03/2002,Saturday,Holy Saturday,Public Holiday
31/03/2002,Sunday,Easter Sunday,Observance
01/04/2002,Monday,Easter Monday,Public Holiday
01/05/2002,Wednesday,Labour Day,Public Holiday
12/05/2002,Sunday,Mother's Day,Observance
25/05/2002,Saturday,Africa Freedom Day,Public Holiday
16/06/2002,Sunday,Father's Day,Observance
21/06/2002,Friday,June Solstice,Season
01/07/2002,Monday,Heroes' Day,Public Holiday
02/07/2002,Tuesday,Unity Day,Public Holiday
03/08/2002,Saturday,Farmers' Day,Public Holiday
23/09/2002,Monday,September Equinox,Season
24/10/2002,Thursday,Independence Day,Public Holiday
22/12/2002,Sunday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
01/01/2003,Wednesday,New Year,Public Holiday
08/03/2003,Saturday,International Women's Day,Public Holiday
12/03/2003,Wednesday,Youth Day,Public Holiday
21/03/2003,Friday,March Equinox,Season
18/04/2003,Friday,Good Friday,Public Holiday
19/04/2003,Saturday,Holy Saturday,Public Holiday
20/04/2003,Sunday,Easter Sunday,Observance
21/04/2003,Monday,Easter Monday,Public Holiday
01/05/2003,Thursday,Labour Day,Public Holiday
11/05/2003,Sunday,Mother's Day,Observance
25/05/2003,Sunday,Africa Freedom Day,Public Holiday
26/05/2003,Monday,Day off for Africa Freedom Day,Public Holiday
15/06/2003,Sunday,Father's Day,Observance
21/06/2003,Saturday,June Solstice,Season
07/07/2003,Monday,Heroes' Day,Public Holiday
08/07/2003,Tuesday,Unity Day,Public Holiday
03/08/2003,Sunday,Farmers' Day,Public Holiday
