Date,Day,Name,Type
01/01/2013,Tuesday,New Year,Public Holiday
20/03/2013,Wednesday,March Equinox,Season
29/03/2013,Friday,Good Friday,Public Holiday
30/03/2013,Saturday,Holy Saturday,Public Holiday
31/03/2013,Sunday,Easter Sunday,Public Holiday
01/04/2013,Monday,Easter Monday,Public Holiday
18/04/2013,Thursday,Independence Day,Public Holiday
01/05/2013,Wednesday,Workers' Day,Public Holiday
12/05/2013,Sunday,Mother's Day,Observance
25/05/2013,Saturday,Africa Day,Public Holiday
16/06/2013,Sunday,Father's Day,Observance
21/06/2013,Friday,June Solstice,Season
12/08/2013,Monday,Heroes' Day,Public Holiday
13/08/2013,Tuesday,Defence Forces Day,Public Holiday
22/09/2013,Sunday,September Equinox,Season
21/12/2013,Saturday,December Solstice,Season
22/12/2013,Sunday,Unity Day,Public Holiday
23/12/2013,Monday,Unity Day observed,Public Holiday
25/12/2013,Wednesday,Christmas Day,Public Holiday
26/12/2013,Thursday,Boxing Day,Public Holiday
01/01/2014,Wednesday,New Year,Public Holiday
20/03/2014,Thursday,March Equinox,Season
18/04/2014,Friday,Good Friday,Public Holiday
18/04/2014,Friday,Independence Day,Public Holiday
19/04/2014,Saturday,Holy Saturday,Public Holiday
20/04/2014,Sunday,Easter Sunday,Public Holiday
21/04/2014,Monday,Easter Monday,Public Holiday
01/05/2014,Thursday,Workers' Day,Public Holiday
11/05/2014,Sunday,Mother's Day,Observance
25/05/2014,Sunday,Africa Day,Public Holiday
26/05/2014,Monday,Africa Day observed,Public Holiday
15/06/2014,Sunday,Father's Day,Observance
21/06/2014,Saturday,June Solstice,Season
11/08/2014,Monday,Heroes' Day,Public Holiday
12/08/2014,Tuesday,Defence Forces Day,Public Holiday
23/09/2014,Tuesday,September Equinox,Season
22/12/2014,Monday,Unity Day,Public Holiday
22/12/2014,Monday,December Solstice,Season
25/12/2014,Thursday,Christmas Day,Public Holiday
26/12/2014,Friday,Boxing Day,Public Holiday
01/01/2015,Thursday,New Year,Public Holiday
21/03/2015,Saturday,March Equinox,Season
03/04/2015,Friday,Good Friday,Public Holiday
04/04/2015,Saturday,Holy Saturday,Public Holiday
05/04/2015,Sunday,Easter Sunday,Public Holiday
06/04/2015,Monday,Easter Monday,Public Holiday
18/04/2015,Saturday,Independence Day,Public Holiday
01/05/2015,Friday,Workers' Day,Public Holiday
10/05/2015,Sunday,Mother's Day,Observance
25/05/2015,Monday,Africa Day,Public Holiday
21/06/2015,Sunday,Father's Day,Observance
21/06/2015,Sunday,June Solstice,Season
10/08/2015,Monday,Heroes' Day,Public Holiday
11/08/2015,Tuesday,Defence Forces Day,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
22/12/2015,Tuesday,Unity Day,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
25/12/2015,Friday,Christmas Day,Public Holiday
26/12/2015,Saturday,Boxing Day,Public Holiday
01/01/2016,Friday,New Year,Public Holiday
20/03/2016,Sunday,March Equinox,Season
25/03/2016,Friday,Good Friday,Public Holiday
26/03/2016,Saturday,Holy Saturday,Public Holiday
27/03/2016,Sunday,Easter Sunday,Public Holiday
28/03/2016,Monday,Easter Monday,Public Holiday
18/04/2016,Monday,Independence Day,Public Holiday
01/05/2016,Sunday,Workers' Day,Public Holiday
02/05/2016,Monday,Workers' Day observed,Public Holiday
08/05/2016,Sunday,Mother's Day,Observance
25/05/2016,Wednesday,Africa Day,Public Holiday
19/06/2016,Sunday,Father's Day,Observance
21/06/2016,Tuesday,June Solstice,Season
08/08/2016,Monday,Heroes' Day,Public Holiday
09/08/2016,Tuesday,Defence Forces Day,Public Holiday
22/09/2016,Thursday,September Equinox,Season
21/12/2016,Wednesday,December Solstice,Season
22/12/2016,Thursday,Unity Day,Public Holiday
25/12/2016,Sunday,Christmas Day,Public Holiday
26/12/2016,Monday,Christmas Day observed,Public Holiday
26/12/2016,Monday,Boxing Day,Public Holiday
27/12/2016,Tuesday,Boxing Day observed,Public Holiday
01/01/2017,Sunday,New Year,Public Holiday
02/01/2017,Monday,New Year observed,Public Holiday
20/03/2017,Monday,March Equinox,Season
14/04/2017,Friday,Good Friday,Public Holiday
15/04/2017,Saturday,Holy Saturday,Public Holiday
16/04/2017,Sunday,Easter Sunday,Public Holiday
17/04/2017,Monday,Easter Monday,Public Holiday
18/04/2017,Tuesday,Independence Day,Public Holiday
01/05/2017,Monday,Workers' Day,Public Holiday
14/05/2017,Sunday,Mother's Day,Observance
25/05/2017,Thursday,Africa Day,Public Holiday
18/06/2017,Sunday,Father's Day,Observance
21/06/2017,Wednesday,June Solstice,Season
08/08/2017,Tuesday,Defence Forces Day,Public Holiday
14/08/2017,Monday,Heroes' Day,Public Holiday
22/09/2017,Friday,September Equinox,Season
21/12/2017,Thursday,December Solstice,Season
22/12/2017,Friday,Unity Day,Public Holiday
25/12/2017,Monday,Christmas Day,Public Holiday
26/12/2017,Tuesday,Boxing Day,Public Holiday
01/01/2018,Monday,New Year,Public Holiday
21/02/2018,Wednesday,Robert Gabriel Mugabe National Youth Day,Public Holiday
20/03/2018,Tuesday,March Equinox,Season
30/03/2018,Friday,Good Friday,Public Holiday
31/03/2018,Saturday,Holy Saturday,Public Holiday
01/04/2018,Sunday,Easter Sunday,Public Holiday
02/04/2018,Monday,Easter Monday,Public Holiday
18/04/2018,Wednesday,Independence Day,Public Holiday
01/05/2018,Tuesday,Workers' Day,Public Holiday
13/05/2018,Sunday,Mother's Day,Observance
25/05/2018,Friday,Africa Day,Public Holiday
17/06/2018,Sunday,Father's Day,Observance
21/06/2018,Thursday,June Solstice,Season
13/08/2018,Monday,Heroes' Day,Public Holiday
14/08/2018,Tuesday,Defence Forces Day,Public Holiday
23/09/2018,Sunday,September Equinox,Season
22/12/2018,Saturday,Unity Day,Public Holiday
22/12/2018,Saturday,December Solstice,Season
25/12/2018,Tuesday,Christmas Day,Public Holiday
26/12/2018,Wednesday,Boxing Day,Public Holiday
01/01/2019,Tuesday,New Year,Public Holiday
21/02/2019,Thursday,Robert Gabriel Mugabe National Youth Day,Public Holiday
20/03/2019,Wednesday,March Equinox,Season
18/04/2019,Thursday,Independence Day,Public Holiday
19/04/2019,Friday,Good Friday,Public Holiday
20/04/2019,Saturday,Holy Saturday,Public Holiday
21/04/2019,Sunday,Easter Sunday,Public Holiday
22/04/2019,Monday,Easter Monday,Public Holiday
01/05/2019,Wednesday,Workers' Day,Public Holiday
12/05/2019,Sunday,Mother's Day,Observance
25/05/2019,Saturday,Africa Day,Public Holiday
16/06/2019,Sunday,Father's Day,Observance
21/06/2019,Friday,June Solstice,Season
12/08/2019,Monday,Heroes' Day,Public Holiday
13/08/2019,Tuesday,Defence Forces Day,Public Holiday
23/09/2019,Monday,September Equinox,Season
25/10/2019,Friday,SADC Solidarity Day,Public Holiday
22/12/2019,Sunday,Unity Day,Public Holiday
22/12/2019,Sunday,December Solstice,Season
23/12/2019,Monday,Unity Day observed,Public Holiday
25/12/2019,Wednesday,Christmas Day,Public Holiday
26/12/2019,Thursday,Boxing Day,Public Holiday
01/01/2020,Wednesday,New Year,Public Holiday
21/02/2020,Friday,Robert Gabriel Mugabe National Youth Day,Public Holiday
20/03/2020,Friday,March Equinox,Season
10/04/2020,Friday,Good Friday,Public Holiday
11/04/2020,Saturday,Holy Saturday,Public Holiday
12/04/2020,Sunday,Easter Sunday,Public Holiday
13/04/2020,Monday,Easter Monday,Public Holiday
18/04/2020,Saturday,Independence Day,Public Holiday
01/05/2020,Friday,Workers' Day,Public Holiday
10/05/2020,Sunday,Mother's Day,Observance
25/05/2020,Monday,Africa Day,Public Holiday
20/06/2020,Saturday,June Solstice,Season
21/06/2020,Sunday,Father's Day,Observance
10/08/2020,Monday,Heroes' Day,Public Holiday
11/08/2020,Tuesday,Defence Forces Day,Public Holiday
22/09/2020,Tuesday,September Equinox,Season
21/12/2020,Monday,December Solstice,Season
22/12/2020,Tuesday,Unity Day,Public Holiday
25/12/2020,Friday,Christmas Day,Public Holiday
26/12/2020,Saturday,Boxing Day,Public Holiday
01/01/2021,Friday,New Year,Public Holiday
21/02/2021,Sunday,Robert Gabriel Mugabe National Youth Day,Public Holiday
22/02/2021,Monday,Robert Gabriel Mugabe National Youth Day observed,Public Holiday
20/03/2021,Saturday,March Equinox,Season
02/04/2021,Friday,Good Friday,Public Holiday
03/04/2021,Saturday,Holy Saturday,Public Holiday
04/04/2021,Sunday,Easter Sunday,Public Holiday
05/04/2021,Monday,Easter Monday,Public Holiday
18/04/2021,Sunday,Independence Day,Public Holiday
19/04/2021,Monday,Independence Day observed,Public Holiday
01/05/2021,Saturday,Workers' Day,Public Holiday
09/05/2021,Sunday,Mother's Day,Observance
25/05/2021,Tuesday,Africa Day,Public Holiday
20/06/2021,Sunday,Father's Day,Observance
21/06/2021,Monday,June Solstice,Season
09/08/2021,Monday,Heroes' Day,Public Holiday
10/08/2021,Tuesday,Defence Forces Day,Public Holiday
22/09/2021,Wednesday,September Equinox,Season
21/12/2021,Tuesday,December Solstice,Season
