Date,Day,Name,Type
01/01/2009,Thursday,New Year's Day,National holiday
06/01/2009,Tuesday,Epiphany,National holiday
11/02/2009,Wednesday,Anniversary of the foundation of Vatican City,National holiday
19/03/2009,Thursday,Father's Day,Observance
19/03/2009,Thursday,St Joseph's Day,National holiday
20/03/2009,Friday,March Equinox,Season
29/03/2009,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
10/04/2009,Friday,Good Friday,Observance
11/04/2009,Saturday,Holy Saturday,Observance
12/04/2009,Sunday,Easter Sunday,National holiday
13/04/2009,Monday,Easter Monday,National holiday
23/04/2009,Thursday,St George's Feast,National holiday
01/05/2009,Friday,Feast of St Joseph the Worker,National holiday
03/05/2009,Sunday,Mother's Day,Observance
21/05/2009,Thursday,Ascension Day,National holiday
11/06/2009,Thursday,Corpus Domini,National holiday
21/06/2009,Sunday,June Solstice,Season
29/06/2009,Monday,The Feasts of Saints Peter and Paul,National holiday
15/08/2009,Saturday,Day of the Assumption of Mary,National holiday
16/08/2009,Sunday,Assumption Day Holiday,National holiday
22/09/2009,Tuesday,September Equinox,Season
25/10/2009,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
01/11/2009,Sunday,All Saints' Day,National holiday
02/11/2009,Monday,All Souls' Day,National holiday
08/12/2009,Tuesday,Feast of the Immaculate Conception,National holiday
21/12/2009,Monday,December Solstice,Season
24/12/2009,Thursday,Christmas Eve,Observance
25/12/2009,Friday,Christmas Day,National holiday
26/12/2009,Saturday,St Stephen's Day,National holiday
31/12/2009,Thursday,New Year's Eve,Observance
01/01/2010,Friday,New Year's Day,National holiday
06/01/2010,Wednesday,Epiphany,National holiday
11/02/2010,Thursday,Anniversary of the foundation of Vatican City,National holiday
19/03/2010,Friday,Father's Day,Observance
19/03/2010,Friday,St Joseph's Day,National holiday
20/03/2010,Saturday,March Equinox,Season
28/03/2010,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
02/04/2010,Friday,Good Friday,Observance
03/04/2010,Saturday,Holy Saturday,Observance
04/04/2010,Sunday,Easter Sunday,National holiday
05/04/2010,Monday,Easter Monday,National holiday
23/04/2010,Friday,St George's Feast,National holiday
01/05/2010,Saturday,Feast of St Joseph the Worker,National holiday
02/05/2010,Sunday,Mother's Day,Observance
13/05/2010,Thursday,Ascension Day,National holiday
03/06/2010,Thursday,Corpus Domini,National holiday
21/06/2010,Monday,June Solstice,Season
29/06/2010,Tuesday,The Feasts of Saints Peter and Paul,National holiday
15/08/2010,Sunday,Day of the Assumption of Mary,National holiday
16/08/2010,Monday,Assumption Day Holiday,National holiday
23/09/2010,Thursday,September Equinox,Season
31/10/2010,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
